FechaAnalisis,NombreCooperativa,Ingresos,InteresesDescuentosGanados,InteresesCausados,MARGEN_NETO_DE_INTERESES,ComisionesGanadas,IngresosServicios,ComisionesCausadas,UtilidadesFinancieras,PerdidasFinancieras,MARGEN_BRUTO_FINANCIERO,Provisiones,MARGEN_NETO_FINANCIERO,GastosOperacion,MARGEN_DE_INTERMEDIACION,OtrosIngresosOperacionales,OtrasPerdidasOperacionales,MARGEN_OPERACIONAL,OtrosIngresos,OtrosGastosPerdidas,GANANCIA_ANTES_DE_IMPUESTOS,ImpuestosparticipacionEmpleados,GANANCIA_O_PERDIDA_DEL_EJERCICIO,Liquidez,ROE,MoraSectorFinanciero,AreaCobertura,TOTAL_CARTERA_IMPRODUCTIVA30,TOTAL_CARTERA_BRUTA30,PROVISIONES30,TOTAL_CARTERA_NETA30,TOTAL_CARTERA_POR_VENCER30,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES30,TOTAL_CARTERA_VENCIDA30,TOTAL_CARTERA_IMPRODUCTIVA60,TOTAL_CARTERA_BRUTA60,PROVISIONES60,TOTAL_CARTERA_NETA60,TOTAL_CARTERA_POR_VENCER60,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES60,TOTAL_CARTERA_VENCIDA60,TOTAL_CARTERA_IMPRODUCTIVA90,TOTAL_CARTERA_BRUTA90,PROVISIONES90,TOTAL_CARTERA_NETA90,TOTAL_CARTERA_POR_VENCER90,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES90,TOTAL_CARTERA_VENCIDA90,Ypredecido,Score
2020-03-31,JARDIN AZUAYO,30595392.87,28970157.44,13167920.65,15802236.79,194095.15,180653.72,23802.12,566374.69,29807.94,16689750.29,4866082.62,11823667.67,9722814.51,2100853.16,0.0,27977.43,2072875.73,684111.87,421697.95,2335289.65,846542.49,1488747.16,27.0,4.0,5.0,144.6,25322426.95,782259655.5,-55718073.88,726541581.62,756937228.55,20661913.65,4660513.3,24501607.55,781652843.99,-53904487.67,727748356.32,757151236.44,19928018.07,4573589.48,24838259.64,780058351.56,-54645256.92,725413094.64,755220091.92,20292403.31,4545856.33,0.79568833,204.31168
2020-03-31,JUVENTUD ECUATORIANA PROGRESISTA,76140089.31,64784522.29,32583452.6,32201069.69,1010554.87,4090292.68,132824.88,267271.12,32690.0,37403673.48,10447222.75,26956450.73,26338876.54,617574.19,0.0,0.0,617574.19,5987448.35,2202400.65,4402621.89,1691084.61,2711537.28,20.0,5.0,4.0,110.0,60401850.11,1655990090.9,-53618197.47,1602371893.43,1595196459.67,44714980.16,15686869.95,57781863.7,1645804426.85,-52533510.2,1593270916.65,1587636483.89,41916369.91,15865493.79,67107264.58,1636383730.21,-56391342.04,1579992388.17,1568894043.18,48924731.93,18182532.65,0.6764145,323.5855
2020-03-31,KULLKI WASI,4908286.56,4803293.49,1995614.6,2807678.89,0.0,6235.08,0.0,7030.11,0.0,2820944.08,314802.74,2506141.34,1994963.84,511177.5,10401.25,0.0,521578.75,81326.63,0.0,602905.38,209998.2,392907.18,14.0,10.0,7.0,130.5,5950990.0,102100235.61,-7300655.4,94799580.21,96149245.61,3202682.23,2748307.77,5382597.66,101277784.56,-7300655.4,93977129.16,95895186.9,2648437.68,2734159.98,6320750.57,100459409.94,-7650671.3,92808738.64,94138659.37,3136854.29,3183896.28,0.690215,309.785
2020-03-31,MUSHUC RUNA,10176900.4,9257920.91,4038359.4,5219561.51,0.0,17166.83,0.0,18627.87,0.0,5255356.21,1261924.97,3993431.24,3978994.68,14436.56,66891.56,0.0,81328.12,816293.23,205424.78,692196.57,255334.01,436862.56,26.0,4.0,9.0,67.2,13173466.04,217470475.16,-15801276.46,201669198.7,204297009.12,8522645.41,4650820.63,11793348.11,214435227.15,-15595816.7,198839410.45,202641879.04,7655130.45,4138217.66,13181630.73,212527641.33,-15298020.12,197229621.21,199346010.6,8775139.09,4406491.64,0.84352523,156.47476
2020-03-31,ONCE DE JUNIO,3853159.05,3408226.26,1850973.88,1557252.38,0.0,92628.74,0.0,8923.36,206.45,1658598.03,706827.75,951770.28,1142419.04,-190648.76,0.0,0.0,-190648.76,343380.69,12833.84,139898.09,100424.16,39473.93,31.0,1.0,12.0,66.5,5908209.62,84120117.96,-5899320.62,78220797.34,78211908.34,4343561.1,1563891.41,5861116.2,83282386.57,-5885473.73,77396912.84,77421270.37,4354591.44,1505765.3,5900341.5,82173459.43,-5169996.96,77003462.47,76273117.93,4428412.62,1471190.51,0.86608595,133.91405
2020-03-31,OSCUS,13702119.62,13167384.22,5664683.08,7502701.14,0.0,101611.0,12381.88,46801.47,129652.3,7509079.43,3078111.53,4430967.9,4391167.6,39800.3,87434.05,0.0,127234.35,298888.88,59.5,426063.73,158069.66,267994.07,26.0,2.0,5.0,160.0,10888110.53,289880618.63,-17536154.61,272344464.02,278992508.1,7707435.15,3180675.38,9870167.21,285642052.3,-16487825.09,269154227.21,275771885.09,6864394.85,3005772.36,11092419.95,283088728.88,-16064946.3,267023782.58,271996308.93,7993387.18,3099032.77,0.7643103,235.6897
2020-03-31,PABLO MUÑOZ VEGA,8125429.41,6914724.68,3327560.17,3587164.51,0.0,16063.88,2016.0,14643.5,136868.83,3478987.06,1704863.99,1774123.07,2080343.25,-306220.18,0.0,29210.66,-335430.84,1179997.35,29222.8,815343.71,295562.09,519781.62,15.0,7.0,6.0,93.4,5512600.19,190467645.95,-7987585.3,182480060.65,184955045.76,2940729.26,2571870.93,4990873.53,188265069.18,-8157988.7,180107080.48,183274195.65,2449756.18,2541117.35,5051163.44,185079846.4,-8098767.29,176981079.11,180028682.96,2443094.58,2608068.86,0.7051771,294.82288
2020-03-31,PILAHUIN TIO,6569544.3,6498297.23,3508899.17,2989398.06,1853.76,54328.34,0.0,3406.98,0.0,3048987.14,297522.61,2751464.53,2089317.1,662147.43,0.0,0.0,662147.43,11657.99,0.0,673805.42,0.0,673805.42,30.0,15.0,10.0,70.33,9349090.48,124798680.87,-8327462.34,116471218.53,115449590.39,7169831.5,2179258.98,6901542.49,124453880.8,-8327462.34,116126418.46,117552338.31,4889290.47,2012252.02,11309215.71,128438787.27,-9304074.25,119134713.02,117129571.56,8707054.33,2602161.38,0.71014637,289.85364
2020-03-31,POLICIA NACIONAL,26792768.12,24107964.12,12594604.79,11513359.33,467996.52,594704.03,178815.85,0.0,0.0,12397244.03,2699094.73,9698149.3,8821735.08,876414.22,176665.93,0.0,1053080.15,1445437.52,284048.41,2214469.26,802745.11,1411724.15,34.0,4.0,5.0,75.71,27910105.52,662783438.67,-28373699.93,634409738.74,634873333.15,23536870.87,4373234.65,25805347.28,659440334.19,-26780530.35,632659803.84,633634986.91,21800316.07,4005031.21,26580314.95,658519100.82,-25419237.23,633099863.59,631938785.87,22778638.01,3801676.94,0.8669962,133.00377
2020-03-31,RIOBAMBA,10872655.53,10029808.22,3976767.79,6053040.43,0.0,44071.88,0.0,22242.91,0.0,6119355.22,1673304.38,4446050.84,3243340.51,1202710.33,0.0,0.0,1202710.33,776532.52,7099.39,1972143.46,718211.62,1253931.84,18.0,8.0,4.0,63.0,3795820.06,237871002.62,-5004731.8,232866270.82,234075182.56,2728792.97,1067027.09,3133711.01,235315729.52,-4930838.83,230384890.69,232182018.51,2082995.58,1050715.43,3837690.16,233203641.79,-5080707.76,228122934.03,229365951.63,2486921.89,1350768.27,0.795357,204.643
